subject,task,best_model,best_interval,best_score,fft
39,6_10_14,RandomForestClassifier,(0.0, 4.0),0.8235294117647058,True
40,6_10_14,LogisticRegression,(1.0, 2.0),0.7058823529411765,False
41,6_10_14,LogisticRegression,(1.0, 2.0),0.8235294117647058,False
42,6_10_14,LogisticRegression,(0.0, 4.0),1.0,False
43,6_10_14,LogisticRegression,(0.0, 3.0),1.0,False
44,6_10_14,LogisticRegression,(1.0, 2.0),0.9411764705882353,False
45,6_10_14,GradientBoostingClassifier,(0.0, 3.0),0.9444444444444444,False
46,6_10_14,RandomForestClassifier,(-1.0, 4.0),0.875,False
47,6_10_14,RandomForestClassifier,(0.0, 3.0),0.7058823529411765,False
48,6_10_14,LogisticRegression,(0.0, 3.0),0.9444444444444444,False
49,6_10_14,RandomForestClassifier,(0.0, 2.0),0.9411764705882353,False
50,6_10_14,LogisticRegression,(1.0, 4.0),1.0,True
